rattle: 使紧张;使担忧;使恼火
adroit: 灵巧的
revile: 辱骂，谩骂;痛斥
disdain: 鄙视，蔑视
negate: 使失效，使无效; 否定;否认;否认...的存在
judicious: 明断的;明智的;有见地的
witty: 诙谐的，机智而幽默的
unwitting: 不知道的，没有意识到的;不知不觉的
limpid: 清澈的;透明的
rarity: 稀有，罕见; 稀有的事物
rarefied: 曲高和寡的，玄奥的，高深的
strew: 散布，使遍布
vantage (point): 可以提供良好视野的地方
megalomania: 自大狂，病态地高估自己的能力或重要性
norm: 正常情况
pose: 造成，构成(困难等)
incommensurable: 不能相比较的，没有可比性的，截然不同的
incommensurate: 不相称的，不成比例的
shading: 细微变化，细微差别
supercilious: 高傲的，轻蔑的
bewilder: 使困惑，难住
disparate: 截然不同的，没有可比性的
stoicism: 默默忍受困难或痛苦
marvel: 感到惊讶;感到好奇; 奇迹，令人惊奇的事物
attest: 证明;表明
prudence: 审慎，小心
mirthful: 欢乐的，高兴的
gregarious: 合群的;爱交友的
impotence: 无能，无能为力，束手无策
mediate: 达成，实现; 表达，传达，传递
alleviate: 缓解;缓和;减轻(困难、痛苦等)
protean: 能扮演多种角色的;多才多艺的
thwart: 反对，阻挠;挫败
inimical: 有害的，不利的
pensive: 沉思的，苦思冥想的，闷闷不乐的
slumber: 睡觉
luminous: 睿智的，有见识的
copious: 丰富的;充裕的
patchwork: 拼凑的东西，混合物
callow:  稚嫩的，没有经验的
standing: 地位，身份;名声
peripheral: 次要的，无关紧要的
serenity: 平静;安详，宁静
polarize: 使两极分化，使对立
portend: 预示，预兆
portent: 凶兆，不祥之兆
mordancy: (语言等)尖刻，辛辣，刻薄
adulate: 过分称赞，拍......的马屁
poignant: 令人难过的，令人心痛的
contemptuous: 表示轻蔑的;鄙视的
jovial: 快活的，愉快的
mediocre: 平庸的，普普通通的
superfluous: 多余的，过剩的
countenance: 赞同;支持;认可
notoriety: 声名狼藉，臭名昭著
convivial: 快活的，友好的
sway: 影响，支配(人或行为)
incisive: (文章等)深刻的，切中要害的，一针见血的
prying: 窥探的;窥视的;过分关注他人私生活的
prodigious: 巨大的，庞大的
prodigy: 奇才，天才，神童
municipality: 城市，自治市
avant-garde: (艺术等的)先锋派;先锋派支持者
pastiche: 混成作品，集多种风格与一身的作品
antidote: 解毒药，解毒剂
vituperation: 辱骂;谩骂;痛骂
onshore: 在岸上;近岸;沿岸
monolithic: 单一的，大一统的
zenith: 最高点，顶点，顶峰
assiduous: 刻苦的;勤奋的
remedy: 疗法;治疗;药品; 补救;纠正，矫正
