persist: (坚定或固执地)坚持; 持续存在
ensue: 接着发生;接踵而来;因而产生
discrepancy: 差异，不符合，不一致
unadorned: 未经装饰的;朴素的
quackery: 江湖骗子的医术;冒充内行，招摇撞骗
gossamer: 极为精细的，极为精致的
imprint: 铭刻;使牢记
disavow: 否认，不承认
melodramatic: 夸张的，演戏一样的
provenance: 起源，来源，出处
fashion: 方式
egregious: 极坏的;令人震惊的
disinclination: 不情愿;不乐意
dilatory: 拖拉的，拖延的
chronicle: 编年史，(按时间顺序的)记事，叙述
interminable: 无休止的，没完没了的，冗长不堪的
extenuate: 减轻(罪行等)，为(罪行)辩解
desertion: 抛弃;离弃;舍弃
glean: 四处搜集
marked: 明显的，显而易见的
snag: 意外的障碍;潜在的困难
mar: 毁坏，损坏;玷污
scant: 不足的;贫乏的;少量的
camaraderie: (群体成员之间的)友谊，情谊
plummet: (价格、水平等)骤然下跌，陡然变差
eminent: 出众的，卓越的;显赫的
maelstrom: (思想、感情、事态等的)极度混乱
artistry: 艺术技巧，艺术水准
enigma: 迷，难以理解的事物
detriment: 损害，造成损害的事物
sift: 区分;挑选
self-styled: 自封的，自称的
fraught: 焦虑的，不安的，令人不安的
pressing: 紧迫的，急迫的;迫切的
preclude: 阻止，防止
laypeople: 外行，非专业人员
lucid: 表述清晰的，明白易懂的
dubious: 可疑的，不可靠的，不可信的
hard-nosed: 强硬的，顽强的
prophylactic: 预防疾病的
foreordain: (命运等)预先注定
insouciance: 无忧无虑;漫不经心;漠不关心
reactionary: 反动的，极端保守的;反动派的
droll: 古怪而滑稽的
peccadillo: 轻罪;过失，小错误
unmediated: 无中介的;直接的
deep-seated: 根深蒂固的，难以消除的
ambivalent: (态度或情绪)矛盾的，又爱又恨的
mundane: 平淡无奇的
sacrosanct: 极其神圣的;不可侵犯的
dazzling: 极好的;炫目的
recast: 重新塑造(形象等);改写，修改
tempt: (be tempted to do something) 想要做(尤指不该做的事)
tantamount: (tantamount to) 等同于的，相当于的
repudiate: 拒绝;否认;拒不接受
hyperbole: 夸张，夸张的说法
verisimilitude: 逼真，看上去真实
initiate: 发起，引起，开始
initiative: 积极性，进取心; 计划，策略，方案
shriek: 尖叫;尖声喊叫
circumvent: 回避，绕开
magnitude: 巨大，广大，庞大; 规模，大小，程度
hysteria: 歇斯底里，情绪失控
refute: 反驳，否认，证明......是错的
diametrically: (形容对立)正好地，完全地，截然地
anodyne: 不得罪人的，不会引人反感的
peripatetic: 到处走的;漫游的;(因工作等而)流动的
perforce: 必然，必定，势必
nomenclature: 名称，叫法
abound: 大量存在
