deplore: 强烈反对;对......强烈不满
abet: 教唆，怂恿
tenuous: 脆弱的，不坚固的;微弱的
censure: 严厉批评，谴责
encomium: 高度赞扬，赞颂;颂词
unbridled: 不受约束的，不受控制的
remuneration: 报酬，酬劳
falsity: 虚假;错误
divination: 占卜;预言
labyrinth: 迷宫
proximity: 接近，邻近
rosy: 有希望的;愉快的;乐观的
sophistication: 精细，复杂，高级; 有智慧，见多识广
spectacular: 壮观的;壮丽的
implicate: 需要，包含，涉及
implication: 意义，影响
empathy: 同感;共鸣
baroque: 极为华丽的，极为奢华的
preempt: 预防，防止
disposition: 性情;性格
ethos: (社会、时代等的)思想，精神，价值观
ingenuous: 纯朴的;单纯的;胸无城府的
disingenuous: 不真诚的，不坦率的;故意隐瞒的
sanction: 批准，认可
pervade: 遍及于;流行于
intransigent: 不妥协的;不让步的;不肯合作的
arrest: 阻止;限制;使停止
lose out: 输给......，被......取代
bolster: 支持;加强;提高
facile: (理论等)肤浅的
incursion: 侵入;袭击;侵犯
inviolable: 不可侵犯的，神圣的，不可亵渎的
divert: 使得到消遣，给...娱乐
irritate: 使生气，使恼火
supple: 易弯曲的;柔韧的
interrelationship: 相互关系，相互联系
bighearted: 仁慈的，宽宏大量的，慷慨的
(the) vernacular: 日常用语;白话
suffice: 足够，满足要求;能够
brazen: 无耻的，恬不知耻的;肆无忌惮的
fabled: 著名的
benign: 无害的
affluence: 富裕
dense: (文字等)复杂的，难懂的
hortatory: 劝告的，忠告的
methodical: 有条理的;井然的
exiguous: 微小的;稀少的
reach: 地带，大片地区;一段流域
a priori: 先验的，基于理论而非观察或实践的
dichotomous: 截然对立的，一分为二的
assault: (猛烈的)批评，指责
harbinger: 预示，先兆，先驱
landscape: 地貌，风景
alteration: 改变，改动，更改
hamstring: 妨碍，束缚，使受挫
venue: (行动、事件等的)发生地点，举行场所
complacent: 自满的，沾沾自喜的
fine: 精细的，精致的
canned: 老套的，千篇一律的，毫无新意的
adornment: 装饰品，饰物
gaiety: 快乐，欢乐;高兴
lugubrious: 忧郁的，悲伤的
