incentive: 动机，激励，刺激
shrewd: 机灵的;敏锐的;精明的
hodgepodge: 混杂，大杂烩
dire: 严重的，紧急的，危急的
recount: 叙述，讲述
magnanimity: 宽宏大量
cumulative: 累积的，渐增的
rhetoric: 华丽的辞藻;浮夸的言辞
obeisance: 尊敬，敬意
flagrant: (错误等)公然的，罪恶昭彰的
quotidian: 日常的;普通的，平凡的
lavish: 非常大方的，极为慷慨的;浪费的
warrant: 使合理，使应该，使有必要
scarce: 缺乏的;不足的
munificent: 慷慨的
proscribe: 禁止
pleasantry: 小笑话
qualify: (对言论)加以限制条件使之变得不绝对
qualification: (使言论更不绝对或更具体的)限制，保留条件，限定条件
whim: 突然产生的念头，异想天开的念头，头脑发热
obtuse: 愚蠢的
fluctuation: 波动，起伏
urbane: 有礼貌的，彬彬有礼的;温文尔雅的
milieu: 背景，社会环境
belie: 掩盖，掩饰; 违背，与......相矛盾，证明......是错的
soothe: 减轻，缓和(痛苦等)
spur: 刺激，激励，鼓舞
precocity: (儿童智力等)提早发育，早熟
dour: 阴郁的;抑郁的，闷闷不乐的
exasperate: 激怒;使极为恼火
exalt: 颂扬，高度赞扬
tepid: 不热烈的，不热情的
voluble: 健谈的，滔滔不绝的
roil: 使激动，使混乱，使不安; (液体)被搅动;翻滚，翻腾
unassailable: 不可反驳的;无懈可击的
opportune: 适时的，时机恰到好处的
proselytizer: 提倡者，主张者
wherewithal: (做某事所需的)资金，手段，设施等
obtrusive: 碍眼的，过于显眼的
slacken: 变缓慢;变弛缓;减弱
fiery: 易怒的，暴躁的
vista: 美景，风景
repulse: (通常作 be repulsed) 使极度反感
burdensome: 艰难的;繁重的
imperial: 雄伟的;宏大的
imperious: 专横的;傲慢的;盛气凌人的
eccentric: (举止等)古怪的
impasse: 僵局
diverge: 分歧，观点相异
querulous: 抱怨的;爱发牢骚的;爱发脾气的
skirt: 绕开(问题等);避开
mainstay: 支柱，主要依靠
pedant; 学究，书呆子，过分关注细节或喜欢卖弄学问的人
fence: 束缚，限制
stale: 陈腐的，过时的;没有新意的
scrupulous: 细致的，一丝不苟的
pretext: 借又，托词
novel: 新的，新颖的;新奇的
compunction: 内疚，良心的责备;顾虑
accede: 答应，同意
stagnate: 不发展，停滞
supplant: 取代;代替
myriad: 无数，极大数量
betray: 显露，显示
litigation: 诉讼
adversary: 对手;敌人
