mechanistic: 机械般的，没有思想的
bar: 阻止，禁止
barring: 除非有......，如果没有......
kindred: [总称] 亲戚，亲属
acumen: 敏锐;聪明
didactic: 说教的，道德教育的
convulsion: 震动;动乱;灾变
afresh: 重新
spurious: 假的;伪造的;欺骗性的
hubris: 傲慢，自大
err: 犯错误;出差错
errant: 犯错误的，出格的
erroneous: 错误的，不正确的
erratic: 不稳定的，不规则的，不可靠的
tantalize: (以可望而不可即之物)逗引，撩拨，使干着急
quixotic: 不切实际的;空想的
magisterial: 专横的;傲慢的，盛气凌人
oversee: 监视;监督;监管
gloat: (对自己)沾沾自喜，(对他人)幸灾乐祸
courteous: 彬彬有礼的
hackneyed: 陈词滥调的，毫无新意的
plunder: (尤指战时或匪患等动乱之际)劫掠...的财物，对...大肆洗劫;掠夺
awash: 充沛的;充斥的，泛滥的
concoct: 编造(故事)，设计(计划)
quip: 机智幽默的话，俏皮话
benighted: 愚昧无知的
fret: 苦恼;烦躁;发愁
evanescent: 短暂的，转瞬即逝的
dignified: 庄严的;高贵的
mightily: 在很大程度上;非常，极其
comity: 礼貌，礼让
illuminate: 阐明，解释;启发
dwarf: 使相形见绌，超过
orthodox: 正统的;正宗的;传统的
blithe: 漫不经心的，毫不在意的，不负责任的
seditious: 煽动叛乱的
posit: 假定，提出，认为
encyclopedic: 百科全书般的;知识广博的
covet: 贪求;觊觎;垂涎
equivocal: 模棱两可的;含糊其辞的
malign: 污蔑，诽谤，中伤
deprecate: 反对，不支持
unidimensional: 肤浅的，缺乏深度的
enduring: 持久的，持续的
rudimentary: 粗糙的，简陋的，不发达的
dissimilar: 不同的，不相似的
generative: 生产的，繁殖的
degeneracy: 恶化，退化
specificity: 具体，明确
heighten: 提高，加强
novice: 新手，初学者
forbearance: 克制，忍耐
identify with: 认同，同情，认可
identify someone/something with: 把......和......紧密联系到一起，认为......和......是紧密相关的
apt: 合适的，恰当的
guarded: (态度等)有保留的，谨慎的
sparkling: 极好的，炫目的
inattention: 疏忽，注意力不集中
