dispassionate: 客观的，理性的，平心而论的
importunate: 再三要求的;纠缠不休的;胡搅蛮缠的
concede: 承认，(不情愿地)认可
adept: 熟练的，擅长的
stalwart: 坚定的，坚决的
surplus: 过剩;剩余
irascible: 易怒的;性情暴躁的
premium: 额外的费用，更多的费用; [作定语](商品)高级的，优质的，精品的
enervate: 使衰弱，使无力;使失去活力
arcane: 神秘的，少有人懂的
persevere: 坚持不懈;锲而不舍
salient: 显著的，突出的
ancillary: 辅助的;补充的
contingent: 有可能的，不确定的
contingency: 可能发生的事，意外，不测; 不确定性，可能性
nondescript: 没有明显特征的
pushover: 易受影响的人，听话的人
paradigm: 典型例子，典范; 范式，科学研究中供他人参考、模仿、比较的对象
embolden: 使有胆量，鼓励，壮胆
fusty: 守旧的;古板的;过时的
electorate: 选民
opportunism: 机会主义，只关注把握眼前机会而不顾道德或长远目标
tart: (话语等)尖刻的，辛辣的;刻薄的
fudge: 含糊其辞，搪塞
winnow: 筛选;辨别
outstrip: 超过
equitable: 公平的;公正的
stifle: 扼杀;抑止，阻止
wrest something from: 挣脱
epic: 英雄的;壮丽的;史诗般的
divulge: 泄露，透露(秘密等)
self-perpetuating: 自我持续的
innumerable: 无数的;数不清的
instantaneous: 瞬间的，即刻的
molder: (由于腐朽而)碎裂，崩塌;腐烂
philistine: 没有文化修养的人，反感文化艺术的人
in spite of: 尽管
accommodate: 使相容，使一致，使协调
mercenary: 唯利是图的，贪财的
cataclysm: 大灾难;大动荡
elucidate: 阐明，解释
self-effacing: 谦逊的，低调的
inopportune: 不凑巧的;不合时宜的，不合适的
wary: 谨慎的，小心翼翼的;警惕的
laudatory: 表示赞美的，颂扬性的，褒扬的
civility: 礼貌，客气，谦恭
opprobrium: 辱骂，蔑视，猛烈批评
impassive: 无动于衷的;不动声色的;面无表情的
unethical: 不道德的
probity: 正直;诚实
befuddle: 使糊涂，使迷惑不解
juvenile: 幼稚的，不成熟的
ponderous: 枯燥乏味的，过于严肃的
conundrum: 谜;难题
fecundity: 繁殖力，生殖力
mitigate: 使缓和，使温和
exotic: 奇异的，异国情调的
bountiful: 充足的，丰富的
sloth: 懒散，怠惰
intractable: (问题等)难对付的，棘手的; (人)倔强的，难管的
inventive: 创新的，有新意的
subservient: 次要的，从属的，地位处于......之下的
deficiency: 缺乏，缺少，不足
aggravate: 加重，加剧;使恶化
snappish: 厉声说话的;没好气的
lucrative: 赚钱的
feckless: 没出息的，不负责任的
squander: 浪费，挥霍
prose: (除诗歌以外的)文章，文字
prosaic: 平凡的;乏味的;没有诗意的
riveting: 极为迷人的，让人难以自拔的
