gravitate: 受吸引;趋向于
downright: 彻底地;完全地;真正地
tenure: 任期
dictum: 名言，格言;权威意见
transgress: 违反(法律、道德等)
sophist: 诡辩者
aggrandize: 扩大...的权势;提高...的地位;增加...的财富
juxtaposition: 并列，并置
stingy: 吝啬的，小气的
genteel: 彬彬有礼的;有教养的
steadfast: 坚定的，忠实的
diffuse: 传播(思想等); 扩散(气体、液体等)，使(热、气味等)四散; 分散的;弥漫的;四散的; (文章等)冗长的，散乱的
discourse: 演讲，辩论; (正式的)探讨，论述
entreat: 恳求;乞求;请求
endow: 资助;捐赠
aspersion: 诽谤;中伤
communal: 集体公用的，公共的，共同的
blatant: (坏行为)公然的，毫不羞耻的
arduous: 艰巨的;费力的;困难的
usher:  创始，开辟
oversight: 忽视;疏忽
regal: 有帝王风范的;威严的;豪华的
glib: (人)油嘴滑舌的，(话)轻率的，不经思考的
suspense: (故事等的)悬念
particularize: 详细说明，具体说明
manage: 控制，限制，约束; 成功做到，成功达成(尤指困难的事);
managerial: 经理的;管理人员的
sporadic: 偶尔的，断断续续的，零散的
feat: 功绩;英勇事迹
inclusive: 全部包含在内的，全面的，范围大的
sanguine: 乐天的;乐观的
agenda: 意图，打算，计划
pretense: 虚假，虚伪;假装
pretentious: 装模作样的，装腔作势的，自命不凡的
license: (文学、艺术等)突破传统，不遵守传统
humility: 谦逊，谦恭
insipid: 枯燥无味的
intricate: 错综复杂的，盘根错结的;复杂精细的
unwieldy: 笨重的
lambaste: 严厉批评，痛斥
run (or take) its course: 听任......，任......自然发展
insalubrious: (气候、环境等)不利于健康的，有损健康的
sanctimonious: 道貌岸然的，装作虔诚的
proffer: 提供，提出
entrench: 牢固确立;使地位稳固
at best: 充其量，在最好的情况下
gentility: 有风度;文雅;彬彬有礼
fluster: 使慌张;使不知所措
surfeit: 过量;过度
lull: (风暴、骚乱等的)暂停，暂时平息，暂时平静
baneful: 有害的
polemical: 争吵的，喜欢争吵的，措辞激烈的
stalemate: 僵持;僵局
meticulous: 一丝不苟的
untether: 使不受束缚，使不受限制
overture: 序言;序曲;事件的开端
placate: 平息;安抚;使息怒
facet: (问题等的)方面
purveyor: (货物、服务、消息等的)供应者，提供者
encumber: 妨碍，阻碍
vicious: 凶残的，残忍的
crass: 粗俗的;粗俗的;愚钝的
affable: 友好的，平易近人的
exacerbate: 加剧;恶化
recession: (经济的)衰退;衰退期
founder: (计划等)失败，崩溃
requisite: 需要的;必要的，必不可少的
entice: 诱使，诱惑;吸引
tonic: 滋补的;强身的;使人精神振奋的
disband: 被解散;被遣散
replete: 充满的，装满的;充斥的
